City,Cinemas,Shows,Total Seats,Sold Seats,Occupancy %,Revenue Low,Revenue High,Revenue Avg
Delhi-NCR,56,876,142605,74831,52.5,44003840,64336374,54170107
Mumbai,27,493,89334,39375,44.1,23139400,38886920,31013160
Pune,10,250,47869,22568,47.1,10846790,19813330,15330060
Kolkata,13,196,46277,20692,44.7,9166140,14417220,11791680
Hyderabad,19,343,65217,31228,47.9,9449794,10849270,10149532
Ahmedabad,6,136,24536,10259,41.8,4562920,8216320,6389620
Lucknow,8,158,28653,12743,44.5,4777730,7363220,6070475
Jaipur,8,128,23100,10377,44.9,4242360,7444090,5843225
Noida,3,85,9919,5360,54.0,4224740,5849854,5037297
Indore,4,110,17934,6687,37.3,2853180,4155280,3504230
Ghaziabad,5,53,12815,6193,48.3,2451570,4432960,3442265
Dehradun,3,52,7313,4812,65.8,1884350,4024150,2954250
Raipur,5,83,19200,6885,35.9,1946270,3935400,2940835
Faridabad,5,61,11495,5855,50.9,1991700,3540790,2766245
Vadodara,6,109,20519,5313,25.9,1708600,3260670,2484635
Chandigarh,3,48,10710,5562,51.9,1530250,3276230,2403240
Kanpur,3,30,6910,3595,52.0,1640960,2925220,2283090
Patna,2,28,5304,3256,61.4,1452730,2629730,2041230
Ludhiana,3,54,9709,4223,43.5,1410400,2496550,1953475
Bhubaneswar,4,55,11275,4248,37.7,1550590,2245810,1898200
Surat,4,96,18160,3554,19.6,1301610,2425990,1863800
Aurangabad,2,26,6425,3520,54.8,1133450,2226250,1679850
Guwahati,3,45,6374,2475,38.8,1059510,1604660,1332085
Kochi,3,34,5603,3183,56.8,771510,1858180,1314845
Nashik,1,20,3592,2120,59.0,812200,1788700,1300450
Amritsar,2,36,6503,2801,43.1,849030,1287310,1068170
Vizag,4,43,8931,4723,52.9,835971,1052265,944118
Ranchi,1,12,2481,1530,61.7,529810,924280,727045
Nagpur,1,15,4291,1675,39.0,637600,779700,708650
Vijayawada,4,32,8601,3094,36.0,547638,827888,687763
Agra,1,14,1565,892,57.0,401400,942100,671750
Bhopal,1,12,3496,1126,32.2,367600,840450,604025
Trivandrum,2,24,3625,1451,40.0,420750,763170,591960
Mangalore,1,12,2759,957,34.7,281900,612170,447035
Chennai,16,190,51348,25191,49.1,316050,327180,321615
Coimbatore,3,30,6146,2773,45.1,0,0,0
TOTAL,36,3989,750594,345127,46.0,145100343,232359681,188730012
